t,theta,omega,x,y
0.0000000000,0.1647737734,-0.3540486183,0.1640291727,-0.9864554883
0.0000000000,0.1644189208,-0.3556560288,0.1636791161,-0.9865136324
0.0000000000,0.1640624625,-0.3572599973,0.1633274548,-0.9865719145
0.0000000000,0.1637044020,-0.3588605082,0.1629741918,-0.9866303324
0.0000000000,0.1633447427,-0.3604575457,0.1626193305,-0.9866888838
0.0000000000,0.1629834880,-0.3620510943,0.1622628740,-0.9867475664
0.0000000000,0.1626206416,-0.3636411381,0.1619048255,-0.9868063779
0.0000000000,0.1622562069,-0.3652276617,0.1615451883,-0.9868653161
0.0000000000,0.1618901875,-0.3668106495,0.1611839656,-0.9869243787
0.0000000000,0.1615225868,-0.3683900860,0.1608211606,-0.9869835633
0.0000000000,0.1611534085,-0.3699659555,0.1604567767,-0.9870428678
0.0000000000,0.1607826561,-0.3715382428,0.1600908172,-0.9871022897
0.0000000000,0.1604103332,-0.3731069322,0.1597232853,-0.9871618267
0.0000000000,0.1600364434,-0.3746720085,0.1593541845,-0.9872214766
0.0000000000,0.1596609904,-0.3762334562,0.1589835179,-0.9872812370
0.0000000000,0.1592839777,-0.3777912600,0.1586112891,-0.9873411057
0.0000000000,0.1589054091,-0.3793454046,0.1582375014,-0.9874010802
0.0000000000,0.1585252882,-0.3808958747,0.1578621581,-0.9874611582
0.0000000000,0.1581436186,-0.3824426551,0.1574852628,-0.9875213375
0.0000000000,0.1577604041,-0.3839857305,0.1571068187,-0.9875816156
0.0000000000,0.1573756484,-0.3855250858,0.1567268294,-0.9876419903
0.0000000000,0.1569893552,-0.3870607058,0.1563452984,-0.9877024591
0.0000000000,0.1566015282,-0.3885925755,0.1559622290,-0.9877630197
0.0000000000,0.1562121713,-0.3901206798,0.1555776248,-0.9878236698
0.0000000000,0.1558212881,-0.3916450035,0.1551914893,-0.9878844070
0.0000000000,0.1554288825,-0.3931655318,0.1548038260,-0.9879452290
0.0000000000,0.1550349583,-0.3946822496,0.1544146384,-0.9880061333
0.0000000000,0.1546395193,-0.3961951420,0.1540239302,-0.9880671176
0.0000000000,0.1542425693,-0.3977041941,0.1536317048,-0.9881281796
0.0000000000,0.1538441122,-0.3992093911,0.1532379659,-0.9881893168
0.0000000000,0.1534441518,-0.4007107181,0.1528427171,-0.9882505269
0.0000000000,0.1530426921,-0.4022081603,0.1524459620,-0.9883118074
0.0000000000,0.1526397368,-0.4037017030,0.1520477042,-0.9883731561
0.0000000000,0.1522352900,-0.4051913314,0.1516479474,-0.9884345705
0.0000000000,0.1518293554,-0.4066770308,0.1512466952,-0.9884960481
0.0000000000,0.1514219372,-0.4081587866,0.1508439513,-0.9885575868
0.0000000000,0.1510130392,-0.4096365843,0.1504397195,-0.9886191839
0.0000000000,0.1506026654,-0.4111104091,0.1500340034,-0.9886808372
0.0000000000,0.1501908197,-0.4125802466,0.1496268068,-0.9887425442
0.0000000000,0.1497775062,-0.4140460822,0.1492181333,-0.9888043025
0.0000000000,0.1493627289,-0.4155079015,0.1488079869,-0.9888661098
0.0000000000,0.1489464917,-0.4169656901,0.1483963712,-0.9889279635
0.0000000000,0.1485287988,-0.4184194335,0.1479832901,-0.9889898613
0.0000000000,0.1481096542,-0.4198691175,0.1475687474,-0.9890518009
0.0000000000,0.1476890620,-0.4213147276,0.1471527468,-0.9891137797
0.0000000000,0.1472670261,-0.4227562496,0.1467352922,-0.9891757953
0.0000000000,0.1468435508,-0.4241936693,0.1463163876,-0.9892378454
0.0000000000,0.1464186402,-0.4256269724,0.1458960367,-0.9892999275
